Trans. Date,Post Date,Description,Amount,Category
10/13/2024,10/13/2024,"MARKET BASK00000513433 LEE NH",43.00,"Supermarkets"
10/13/2024,10/13/2024,"SAVERS - 1182 MANCHESTER NH01312P",27.27,"Merchandise"
10/13/2024,10/13/2024,"SQ *LA NEF CHOCOLATE MANCHESTER NH0002305843020804788447",32.00,"Supermarkets"
10/13/2024,10/13/2024,"WALMART STORE 03535 EPPING NH",4.98,"Merchandise"
10/16/2024,10/16/2024,"C & J BUS LINES 603-430-1100 NH",29.98,"Travel/ Entertainment"
10/16/2024,10/16/2024,"HEADWAY 6464536777 NY",50.00,"Medical Services"
10/16/2024,10/16/2024,"TST*SHIBLEYS AT THE P ALTON BAY NH00129687020737912892AA",31.04,"Restaurants"
10/17/2024,10/17/2024,"AT *NEAQUARIUM BOSTON MA",19.50,"Services"
10/17/2024,10/17/2024,"HANNAFORD #8440 DURHAM NH01756P",2.49,"Supermarkets"
10/17/2024,10/17/2024,"NORTH END BAKERY BOSTON MA",23.87,"Merchandise"
